"Section","File","WarningBefore","Changed","WarningAfter","RemainingSnippet"
"billboards","libertys-first-casualty.html","No","Yes","No",""
"billboards","life-after-debt-jersey-city-1992.html","No","Yes","No",""
"billboards","look-before-you-speak.html","No","Yes","No",""
"billboards","love-dallas-tx-1981.html","No","Yes","No",""
"billboards","lust-dallas-tx-1981.html","No","Yes","No",""
"billboards","marlboro-boy.html","No","Yes","No",""
"billboards","masturbation-is-murder.html","No","Yes","No",""
"billboards","mc-soylent-gold-is-cattle.html","No","Yes","No",""
"billboards","mc-super-sized.html","No","Yes","No",""
"billboards","modern-mickeys.html","No","Yes","No",""
"billboards","monica.html","No","Yes","No",""
"billboards","more-jingoism-less-journalism.html","No","Yes","No",""
"billboards","mother-of-all-milkshakes.html","No","Yes","No",""
"billboards","new-aids-transmitted-through-eye-contact.html","No","Yes","No",""
"billboards","new-world-order-nyc-1990.html","No","Yes","No",""
"billboards","new-years-eve.html","No","Yes","No",""
"billboards","no-brain-no-pain.html","No","Yes","No",""
"billboards","nova-orden-mundial.html","No","Yes","No",""
"billboards","nova-xeracion.html","No","Yes","No",""
"billboards","obama.html","No","Yes","No",""
"billboards","observe-listen-reveal.html","No","Yes","No",""
"billboards","oj-simpson.html","No","Yes","No",""
"billboards","one-god-one-party.html","No","Yes","No",""
"billboards","over-50-billion-super-sized.html","No","Yes","No",""
"billboards","phat-food.html","No","Yes","No",""
"billboards","playdate-iran.html","No","Yes","No",""
"billboards","politician.html","No","Yes","No",""
"billboards","power-before-people.html","No","Yes","No",""
"billboards","public-works-grin.html","No","Yes","No",""
"billboards","put-a-tiger-on-the-brink.html","No","Yes","No",""
"billboards","radiant-child-1984.html","No","Yes","No",""
"billboards","randall-hart.html","No","Yes","No",""
"billboards","raquels-topless-steak-house.html","No","Yes","No",""
"billboards","rayban.html","No","Yes","No",""
"billboards","read-between-the-lies.html","No","Yes","No",""
"billboards","read-my-lips.html","No","Yes","No",""
"billboards","recombinant-growth-hormone.html","No","Yes","No",""
"billboards","resurrect-your-inner-rabbit.html","No","Yes","No",""
"billboards","revelations-book-ii.html","No","Yes","No",""
"billboards","ron-english-and-the-artfux-nyc-1990.html","No","Yes","No",""
"billboards","ross-perot.html","No","Yes","No",""
"billboards","rush-always-right.html","No","Yes","No",""
"billboards","saddams-suvs.html","No","Yes","No",""
"billboards","salem-spirit-austin-tx-1983.html","No","Yes","No",""
"billboards","se-cres-no-ten-porque-ser-verdade.html","No","Yes","No",""
"billboards","shes-smoking-for-two-jersey-city-1996.html","No","Yes","No",""
"billboards","shop-while-they-drop.html","No","Yes","No",""
"billboards","sideshow-denton-tx-1981.html","No","Yes","No",""
"billboards","smoke-a-camel-ron-and-the-artfux-nyc-1990.html","No","Yes","No",""
"billboards","smooth-character-jersey-city-1992.html","No","Yes","No",""
"billboards","some-freds-are-gonna-roll-nyc-1990.html","No","Yes","No",""
"billboards","squirrel-squirt-beer.html","No","Yes","No",""
"billboards","strippers.html","No","Yes","No",""
"billboards","stuckeys-austin-tx-1985.html","No","Yes","No",""
"billboards","sugar-the-other-white-powder.html","No","Yes","No",""
"billboards","supermarket-1.html","No","Yes","No",""
"billboards","supermarket-2.html","No","Yes","No",""
"billboards","supersize-this-mother-fker.html","No","Yes","No",""
"billboards","supersize-your-thighs.html","No","Yes","No",""
"billboards","support-our-ceos.html","No","Yes","No",""
"billboards","surveillance-austin-tx-1985.html","No","Yes","No",""
"billboards","thank-god-for-global-warming.html","No","Yes","No",""
"billboards","the-cancer-kid-jersey-city-1996.html","No","Yes","No",""
"billboards","the-gefkens.html","No","Yes","No",""
"billboards","the-invading-aliens-from-the-beach-party-austin-tx-1985.html","No","Yes","No",""
"billboards","the-late-show.html","No","Yes","No",""
"billboards","the-media-is-the-massage-version-2.html","No","Yes","No",""
"billboards","the-poor-what-are-they-good-for.html","No","Yes","No",""
"billboards","the-rabbits-in-delusionville.html","No","Yes","No",""
"billboards","think-different.html","No","Yes","No",""
"billboards","think-different-manson.html","No","Yes","No",""
"billboards","to-serve-man.html","No","Yes","No",""
"billboards","trump-golden-billionare.html","No","Yes","No",""
"billboards","trumpty-dumpty.html","No","Yes","No",""
"billboards","two-thousand-years-in-the-tomb.html","No","Yes","No",""
"billboards","wars-fought-orgies-organized.html","No","Yes","No",""
"billboards","we-deceive-you-believe.html","No","Yes","No",""
"billboards","we-deceive-you-believe-denver-co.html","No","Yes","No",""
"billboards","weed-eagle.html","No","Yes","No",""
"billboards","welcome-wall.html","No","Yes","No",""
"billboards","wellington-court-mural-project.html","No","Yes","No",""
"billboards","whats-in-your-body.html","No","Yes","No",""
"billboards","where-a-clown-belongs-austin-tx-1983.html","No","Yes","No",""
"billboards","woodstok-wall.html","No","Yes","No",""
"billboards","you-are-not-a-clone-version-2.html","No","Yes","No",""
"billboards","you-are-not-here.html","No","Yes","No",""
"billboards","you-are-what-you-own.html","No","Yes","No",""
"billboards","your-apathy-is-our-strength.html","No","Yes","No",""
